Fecha;Cartera;Moneda_retorno;Rentabilidad_1D
05-03-19;BENCHMARK;CLP;-0,210%
06-03-19;BENCHMARK;CLP;0,500%
06-03-19;FONDO;CLP;0,145%
07-03-19;BENCHMARK;CLP;0,014%
07-03-19;FONDO;CLP;-0,127%
08-03-19;FONDO;CLP;-0,038%
08-03-19;BENCHMARK;CLP;0,345%
09-03-19;FONDO;CLP;0,000%
09-03-19;BENCHMARK;CLP;0,000%
10-03-19;FONDO;CLP;0,000%
10-03-19;BENCHMARK;CLP;0,000%
11-03-19;BENCHMARK;CLP;0,462%
11-03-19;FONDO;CLP;1,272%
12-03-19;BENCHMARK;CLP;-0,187%
12-03-19;FONDO;CLP;-0,253%
13-03-19;BENCHMARK;CLP;0,455%
13-03-19;FONDO;CLP;0,410%
14-03-19;FONDO;CLP;-0,161%
14-03-19;BENCHMARK;CLP;-0,239%
15-03-19;FONDO;CLP;0,445%
15-03-19;BENCHMARK;CLP;0,440%
16-03-19;BENCHMARK;CLP;0,000%
16-03-19;FONDO;CLP;0,000%
17-03-19;BENCHMARK;CLP;0,000%
17-03-19;FONDO;CLP;0,000%
18-03-19;FONDO;CLP;-0,149%
18-03-19;BENCHMARK;CLP;0,005%
19-03-19;BENCHMARK;CLP;-0,351%
19-03-19;FONDO;CLP;-0,088%
20-03-19;FONDO;CLP;-1,167%
20-03-19;BENCHMARK;CLP;-1,143%
21-03-19;BENCHMARK;CLP;0,310%
21-03-19;FONDO;CLP;-0,137%
22-03-19;BENCHMARK;CLP;-0,976%
22-03-19;FONDO;CLP;-1,028%
23-03-19;FONDO;CLP;0,000%
23-03-19;BENCHMARK;CLP;0,000%
24-03-19;BENCHMARK;CLP;0,000%
24-03-19;FONDO;CLP;0,000%
25-03-19;BENCHMARK;CLP;-0,316%
25-03-19;FONDO;CLP;-0,490%
26-03-19;BENCHMARK;CLP;-0,051%
26-03-19;FONDO;CLP;0,219%
27-03-19;FONDO;CLP;-0,402%
27-03-19;BENCHMARK;CLP;-0,323%
28-03-19;FONDO;CLP;0,431%
28-03-19;BENCHMARK;CLP;0,771%
29-03-19;BENCHMARK;CLP;0,870%
29-03-19;FONDO;CLP;0,842%
30-03-19;FONDO;CLP;0,000%
30-03-19;BENCHMARK;CLP;0,000%
31-03-19;FONDO;CLP;0,000%
31-03-19;BENCHMARK;CLP;0,000%
01-04-19;BENCHMARK;CLP;-0,052%
01-04-19;FONDO;CLP;0,523%
02-04-19;BENCHMARK;CLP;-0,915%
02-04-19;FONDO;CLP;-1,034%
03-04-19;BENCHMARK;CLP;0,277%
03-04-19;FONDO;CLP;0,115%
04-04-19;BENCHMARK;CLP;1,163%
04-04-19;FONDO;CLP;0,420%
05-04-19;BENCHMARK;CLP;-0,544%
05-04-19;FONDO;CLP;0,282%
06-04-19;FONDO;CLP;0,000%
06-04-19;BENCHMARK;CLP;0,000%
07-04-19;FONDO;CLP;0,000%
07-04-19;BENCHMARK;CLP;0,000%
08-04-19;BENCHMARK;CLP;0,376%
08-04-19;FONDO;CLP;-0,281%
09-04-19;FONDO;CLP;0,194%
09-04-19;BENCHMARK;CLP;0,134%
10-04-19;FONDO;CLP;0,186%
10-04-19;BENCHMARK;CLP;-0,071%
11-04-19;BENCHMARK;CLP;-0,438%
11-04-19;FONDO;CLP;-0,330%
12-04-19;FONDO;CLP;-0,112%
12-04-19;BENCHMARK;CLP;-0,291%
13-04-19;BENCHMARK;CLP;0,000%
13-04-19;FONDO;CLP;0,000%
14-04-19;FONDO;CLP;0,000%
14-04-19;BENCHMARK;CLP;0,000%
15-04-19;FONDO;CLP;-0,213%
15-04-19;BENCHMARK;CLP;-0,138%
16-04-19;BENCHMARK;CLP;0,548%
16-04-19;FONDO;CLP;0,032%
17-04-19;FONDO;CLP;0,199%
17-04-19;BENCHMARK;CLP;0,274%
18-04-19;FONDO;CLP;-0,191%
18-04-19;BENCHMARK;CLP;-0,260%
19-04-19;BENCHMARK;CLP;0,000%
19-04-19;FONDO;CLP;0,000%
20-04-19;BENCHMARK;CLP;0,000%
20-04-19;FONDO;CLP;0,000%
21-04-19;FONDO;CLP;0,000%
21-04-19;BENCHMARK;CLP;0,000%
22-04-19;FONDO;CLP;-0,457%
22-04-19;BENCHMARK;CLP;-0,521%
23-04-19;FONDO;CLP;-0,702%
23-04-19;BENCHMARK;CLP;-0,329%
24-04-19;FONDO;CLP;-0,298%
24-04-19;BENCHMARK;CLP;-0,300%
25-04-19;BENCHMARK;CLP;-0,596%
25-04-19;FONDO;CLP;-0,357%
26-04-19;FONDO;CLP;0,145%
26-04-19;BENCHMARK;CLP;0,412%
27-04-19;FONDO;CLP;0,000%
27-04-19;BENCHMARK;CLP;0,000%
28-04-19;BENCHMARK;CLP;0,000%
28-04-19;FONDO;CLP;0,000%
29-04-19;BENCHMARK;CLP;-0,421%
29-04-19;FONDO;CLP;-0,161%
30-04-19;FONDO;CLP;-0,015%
30-04-19;BENCHMARK;CLP;0,333%
01-05-19;FONDO;CLP;0,000%
01-05-19;BENCHMARK;CLP;0,000%
02-05-19;FONDO;CLP;-0,506%
02-05-19;BENCHMARK;CLP;-0,877%
03-05-19;FONDO;CLP;0,098%
03-05-19;BENCHMARK;CLP;-0,180%
04-05-19;FONDO;CLP;0,000%
04-05-19;BENCHMARK;CLP;0,000%
05-05-19;FONDO;CLP;0,000%
05-05-19;BENCHMARK;CLP;0,000%
06-05-19;BENCHMARK;CLP;-0,158%
06-05-19;FONDO;CLP;-1,205%
07-05-19;FONDO;CLP;-0,590%
07-05-19;BENCHMARK;CLP;-0,889%
08-05-19;BENCHMARK;CLP;-0,358%
08-05-19;FONDO;CLP;-0,388%
09-05-19;BENCHMARK;CLP;-0,295%
09-05-19;FONDO;CLP;-0,114%
10-05-19;FONDO;CLP;0,094%
10-05-19;BENCHMARK;CLP;0,100%
11-05-19;FONDO;CLP;0,000%
11-05-19;BENCHMARK;CLP;0,000%
12-05-19;FONDO;CLP;0,000%
12-05-19;BENCHMARK;CLP;0,000%
13-05-19;BENCHMARK;CLP;-1,595%
13-05-19;FONDO;CLP;-1,669%
14-05-19;FONDO;CLP;0,061%
14-05-19;BENCHMARK;CLP;0,984%
15-05-19;FONDO;CLP;-0,020%
15-05-19;BENCHMARK;CLP;-0,273%
16-05-19;BENCHMARK;CLP;-0,549%
16-05-19;FONDO;CLP;-0,230%
17-05-19;BENCHMARK;CLP;-1,048%
17-05-19;FONDO;CLP;-0,849%
18-05-19;BENCHMARK;CLP;0,000%
18-05-19;FONDO;CLP;0,000%
19-05-19;FONDO;CLP;0,000%
19-05-19;BENCHMARK;CLP;0,000%
20-05-19;FONDO;CLP;-0,593%
20-05-19;BENCHMARK;CLP;-0,225%
21-05-19;FONDO;CLP;0,000%
21-05-19;BENCHMARK;CLP;0,000%
22-05-19;FONDO;CLP;-0,010%
22-05-19;BENCHMARK;CLP;0,130%
23-05-19;FONDO;CLP;-1,013%
23-05-19;BENCHMARK;CLP;-0,549%
24-05-19;FONDO;CLP;-0,213%
24-05-19;BENCHMARK;CLP;-0,254%
25-05-19;FONDO;CLP;0,000%
25-05-19;BENCHMARK;CLP;0,000%
26-05-19;FONDO;CLP;0,000%
26-05-19;BENCHMARK;CLP;0,000%
27-05-19;BENCHMARK;CLP;-0,637%
27-05-19;FONDO;CLP;-0,656%
28-05-19;BENCHMARK;CLP;-1,073%
28-05-19;FONDO;CLP;-0,756%
29-05-19;BENCHMARK;CLP;1,633%
29-05-19;FONDO;CLP;0,465%
30-05-19;BENCHMARK;CLP;1,183%
30-05-19;FONDO;CLP;1,780%
31-05-19;FONDO;CLP;0,778%
31-05-19;BENCHMARK;CLP;0,865%
01-06-19;BENCHMARK;CLP;0,000%
01-06-19;FONDO;CLP;0,000%
02-06-19;FONDO;CLP;0,000%
02-06-19;BENCHMARK;CLP;0,000%
03-06-19;FONDO;CLP;0,667%
03-06-19;BENCHMARK;CLP;0,735%
04-06-19;BENCHMARK;CLP;-0,165%
04-06-19;FONDO;CLP;0,583%
05-06-19;BENCHMARK;CLP;-0,958%
05-06-19;FONDO;CLP;-0,860%
06-06-19;BENCHMARK;CLP;-0,615%
06-06-19;FONDO;CLP;-0,619%
07-06-19;FONDO;CLP;0,253%
07-06-19;BENCHMARK;CLP;0,490%
08-06-19;BENCHMARK;CLP;0,000%
08-06-19;FONDO;CLP;0,000%
09-06-19;BENCHMARK;CLP;0,000%
09-06-19;FONDO;CLP;0,000%
10-06-19;FONDO;CLP;1,147%
10-06-19;BENCHMARK;CLP;1,371%
11-06-19;BENCHMARK;CLP;1,001%
11-06-19;FONDO;CLP;0,856%
12-06-19;BENCHMARK;CLP;-0,027%
12-06-19;FONDO;CLP;-0,144%
13-06-19;FONDO;CLP;-0,045%
13-06-19;BENCHMARK;CLP;0,077%
14-06-19;BENCHMARK;CLP;-0,254%
14-06-19;FONDO;CLP;-0,362%
15-06-19;BENCHMARK;CLP;0,000%
15-06-19;FONDO;CLP;0,000%
16-06-19;BENCHMARK;CLP;0,000%
