Fecha;Cartera;Instrumento;Peso
02-01-19;FONDO;NORTEGRAN;0,67%
02-01-19;FONDO;PARAUCO;0,67%
02-01-19;FONDO;RIPLEY;1,02%
02-01-19;FONDO;SALFACORP;0,91%
02-01-19;FONDO;SK;0,43%
02-01-19;FONDO;SM-CHILE B;3,27%
02-01-19;FONDO;SMU;1,01%
02-01-19;FONDO;SONDA;0,89%
02-01-19;FONDO;SQM-B;6,40%
03-01-19;FONDO;ANDINA-B;1,80%
03-01-19;FONDO;ANTARCHILE;1,94%
03-01-19;FONDO;BCI;7,26%
03-01-19;FONDO;BSANTANDER;7,02%
03-01-19;FONDO;Caja CLP;0,32%
03-01-19;FONDO;CAP;0,13%
03-01-19;FONDO;CCU;1,17%
03-01-19;FONDO;CENCOSUD;2,57%
03-01-19;FONDO;CFILVSCC-L;8,06%
03-01-19;FONDO;CHILE;0,26%
03-01-19;FONDO;CMPC;6,88%
03-01-19;FONDO;COLBUN;0,59%
03-01-19;FONDO;COPEC;5,49%
03-01-19;FONDO;ECL;3,06%
03-01-19;FONDO;ENELAM;9,53%
03-01-19;FONDO;ENELCHILE;4,42%
03-01-19;FONDO;ENTEL;0,93%
03-01-19;FONDO;FALABELLA;5,11%
03-01-19;FONDO;HITES;0,37%
03-01-19;FONDO;IAM;2,42%
03-01-19;FONDO;ILC;2,53%
03-01-19;FONDO;ITAUCORP;5,37%
03-01-19;FONDO;LTM;6,43%
03-01-19;FONDO;MALLPLAZA;1,14%
03-01-19;FONDO;NORTEGRAN;0,67%
03-01-19;FONDO;PARAUCO;0,70%
03-01-19;FONDO;RIPLEY;1,03%
03-01-19;FONDO;SALFACORP;0,92%
03-01-19;FONDO;SK;0,43%
03-01-19;FONDO;SM-CHILE B;3,31%
03-01-19;FONDO;SMU;1,02%
03-01-19;FONDO;SONDA;0,90%
03-01-19;FONDO;SQM-B;6,23%
03-01-19;BENCHMARK;AESGENER;1,28%
03-01-19;BENCHMARK;AGUAS-A;2,52%
03-01-19;BENCHMARK;ANDINA-B;1,21%
03-01-19;BENCHMARK;BCI;5,44%
03-01-19;BENCHMARK;BSANTANDER;7,70%
03-01-19;BENCHMARK;CAP;1,07%
03-01-19;BENCHMARK;CCU;3,12%
03-01-19;BENCHMARK;CENCOSUD;4,11%
03-01-19;BENCHMARK;CHILE;7,07%
03-01-19;BENCHMARK;CMPC;5,82%
03-01-19;BENCHMARK;COLBUN;2,34%
03-01-19;BENCHMARK;CONCHATORO;1,49%
03-01-19;BENCHMARK;COPEC;7,28%
03-01-19;BENCHMARK;ECL;1,51%
03-01-19;BENCHMARK;ENELAM;8,30%
03-01-19;BENCHMARK;ENELCHILE;4,38%
03-01-19;BENCHMARK;ENELGXCH;0,49%
03-01-19;BENCHMARK;ENTEL;1,81%
03-01-19;BENCHMARK;FALABELLA;7,72%
03-01-19;BENCHMARK;ILC;0,89%
03-01-19;BENCHMARK;ITAUCORP;2,61%
03-01-19;BENCHMARK;LTM;5,08%
03-01-19;BENCHMARK;PARAUCO;2,62%
03-01-19;BENCHMARK;RIPLEY;1,33%
03-01-19;BENCHMARK;SALFACORP;0,74%
03-01-19;BENCHMARK;SECURITY;0,71%
03-01-19;BENCHMARK;SM-CHILE B;3,57%
03-01-19;BENCHMARK;SONDA;1,37%
03-01-19;BENCHMARK;SQM-B;5,75%
03-01-19;BENCHMARK;VAPORES;0,66%
04-01-19;FONDO;ANDINA-B;1,79%
04-01-19;FONDO;ANTARCHILE;1,93%
04-01-19;FONDO;BCI;7,15%
04-01-19;FONDO;BSANTANDER;6,95%
04-01-19;FONDO;Caja CLP;0,33%
04-01-19;FONDO;CAP;0,13%
04-01-19;FONDO;CCU;1,16%
04-01-19;FONDO;CENCOSUD;2,58%
04-01-19;FONDO;CFILVSCC-L;8,00%
04-01-19;FONDO;CHILE;0,26%
04-01-19;FONDO;CMPC;6,90%
04-01-19;FONDO;COLBUN;0,59%
04-01-19;FONDO;COPEC;5,46%
04-01-19;FONDO;ECL;3,04%
04-01-19;FONDO;ENELAM;9,66%
04-01-19;FONDO;ENELCHILE;4,39%
04-01-19;FONDO;ENTEL;0,92%
04-01-19;FONDO;FALABELLA;5,12%
04-01-19;FONDO;HITES;0,36%
04-01-19;FONDO;IAM;2,41%
04-01-19;FONDO;ILC;2,51%
04-01-19;FONDO;ITAUCORP;5,32%
04-01-19;FONDO;LTM;6,64%
04-01-19;FONDO;MALLPLAZA;1,14%
04-01-19;FONDO;NORTEGRAN;0,66%
04-01-19;FONDO;PARAUCO;0,70%
04-01-19;FONDO;RIPLEY;1,03%
04-01-19;FONDO;SALFACORP;0,94%
04-01-19;FONDO;SK;0,44%
04-01-19;FONDO;SM-CHILE B;3,30%
04-01-19;FONDO;SMU;1,01%
04-01-19;FONDO;SONDA;0,91%
04-01-19;FONDO;SQM-B;6,28%
04-01-19;BENCHMARK;AESGENER;1,28%
04-01-19;BENCHMARK;AGUAS-A;2,55%
04-01-19;BENCHMARK;ANDINA-B;1,21%
04-01-19;BENCHMARK;BCI;5,37%
04-01-19;BENCHMARK;BSANTANDER;7,64%
04-01-19;BENCHMARK;CAP;1,11%
04-01-19;BENCHMARK;CCU;3,09%
04-01-19;BENCHMARK;CENCOSUD;4,12%
04-01-19;BENCHMARK;CHILE;7,01%
04-01-19;BENCHMARK;CMPC;5,85%
04-01-19;BENCHMARK;COLBUN;2,33%
04-01-19;BENCHMARK;CONCHATORO;1,48%
04-01-19;BENCHMARK;COPEC;7,23%
04-01-19;BENCHMARK;ECL;1,50%
04-01-19;BENCHMARK;ENELAM;8,46%
04-01-19;BENCHMARK;ENELCHILE;4,35%
04-01-19;BENCHMARK;ENELGXCH;0,49%
04-01-19;BENCHMARK;ENTEL;1,79%
04-01-19;BENCHMARK;FALABELLA;7,75%
04-01-19;BENCHMARK;ILC;0,88%
04-01-19;BENCHMARK;ITAUCORP;2,58%
04-01-19;BENCHMARK;LTM;5,14%
04-01-19;BENCHMARK;PARAUCO;2,60%
04-01-19;BENCHMARK;RIPLEY;1,32%
04-01-19;BENCHMARK;SALFACORP;0,74%
04-01-19;BENCHMARK;SECURITY;0,71%
04-01-19;BENCHMARK;SM-CHILE B;3,51%
04-01-19;BENCHMARK;SONDA;1,38%
04-01-19;BENCHMARK;SQM-B;5,86%
